s,i,success,false,success2,false2
0,0,0,1,0,1
0,1,0,10,0,10
0,2,0,45,0,45
0,3,0,120,0,120
0,4,0,210,0,210
0,5,252,0,0,252
0,6,210,0,210,0
0,7,120,0,120,0
0,8,45,0,45,0
0,9,10,0,10,0
0,10,1,0,1,0
0.025,0,0,1,0,1
0.025,1,0,10,0,10
0.025,2,0,45,0,45
0.025,3,0,120,0,120
0.025,4,0,210,0,210
0.025,5,152,100,126,126
0.025,6,210,0,210,0
0.025,7,120,0,120,0
0.025,8,45,0,45,0
0.025,9,10,0,10,0
0.025,10,1,0,1,0
0.05,0,0,1,0,1
0.05,1,0,10,0,10
0.05,2,0,45,0,45
0.05,3,0,120,0,120
0.05,4,0,210,0,210
0.05,5,140,112,126,126
0.05,6,210,0,210,0
0.05,7,120,0,120,0
0.05,8,45,0,45,0
0.05,9,10,0,10,0
0.05,10,1,0,1,0
0.075,0,0,1,0,1
0.075,1,0,10,0,10
0.075,2,0,45,0,45
0.075,3,0,120,0,120
0.075,4,0,210,0,210
0.075,5,135,117,126,126
0.075,6,210,0,210,0
0.075,7,120,0,120,0
0.075,8,45,0,45,0
0.075,9,10,0,10,0
0.075,10,1,0,1,0
0.1,0,0,1,0,1
0.1,1,0,10,0,10
0.1,2,0,45,0,45
0.1,3,0,120,0,120
0.1,4,0,210,0,210
0.1,5,134,118,126,126
0.1,6,210,0,210,0
0.1,7,120,0,120,0
0.1,8,45,0,45,0
0.1,9,10,0,10,0
0.1,10,1,0,1,0
0.125,0,0,1,0,1
0.125,1,0,10,0,10
0.125,2,0,45,0,45
0.125,3,0,120,0,120
0.125,4,0,210,0,210
0.125,5,132,120,126,126
0.125,6,210,0,210,0
0.125,7,120,0,120,0
0.125,8,45,0,45,0
0.125,9,10,0,10,0
0.125,10,1,0,1,0
0.15,0,0,1,0,1
0.15,1,0,10,0,10
0.15,2,0,45,0,45
0.15,3,0,120,0,120
0.15,4,0,210,0,210
0.15,5,130,122,126,126
0.15,6,210,0,210,0
0.15,7,120,0,120,0
0.15,8,45,0,45,0
0.15,9,10,0,10,0
0.15,10,1,0,1,0
0.175,0,0,1,0,1
0.175,1,0,10,0,10
0.175,2,0,45,0,45
0.175,3,0,120,0,120
0.175,4,0,210,0,210
0.175,5,130,122,126,126
0.175,6,210,0,210,0
0.175,7,120,0,120,0
0.175,8,45,0,45,0
0.175,9,10,0,10,0
0.175,10,1,0,1,0
0.2,0,0,1,0,1
