s,i,success,false,success2,false2
0.9,2,0,45,0,45
0.9,3,9,111,9,111
0.9,4,60,150,59,151
0.9,5,126,126,126,126
0.9,6,152,58,151,59
0.9,7,111,9,111,9
0.9,8,45,0,45,0
0.9,9,10,0,10,0
0.9,10,1,0,1,0
0.95,0,0,1,0,1
0.95,1,0,10,0,10
0.95,2,0,45,0,45
0.95,3,11,109,10,110
0.95,4,63,147,63,147
0.95,5,127,125,126,126
0.95,6,147,63,147,63
0.95,7,110,10,110,10
0.95,8,45,0,45,0
0.95,9,10,0,10,0
0.95,10,1,0,1,0
1,0,0,1,0,1
1,1,0,10,0,10
1,2,1,44,1,44
1,3,12,108,12,108
1,4,68,142,68,142
1,5,126,126,126,126
1,6,142,68,142,68
1,7,108,12,108,12
1,8,44,1,44,1
1,9,10,0,10,0
1,10,1,0,1,0
1.05,0,0,1,0,1
1.05,1,0,10,0,10
1.05,2,1,44,1,44
1.05,3,16,104,16,104
1.05,4,71,139,71,139
1.05,5,126,126,126,126
1.05,6,139,71,139,71
1.05,7,104,16,104,16
1.05,8,44,1,44,1
1.05,9,10,0,10,0
1.05,10,1,0,1,0
1.1,0,0,1,0,1
1.1,1,0,10,0,10
1.1,2,1,44,1,44
1.1,3,17,103,17,103
1.1,4,76,134,75,135
1.1,5,126,126,126,126
1.1,6,135,75,135,75
1.1,7,103,17,103,17
1.1,8,44,1,44,1
1.1,9,10,0,10,0
1.1,10,1,0,1,0
1.15,0,0,1,0,1
1.15,1,0,10,0,10
1.15,2,2,43,1,44
1.15,3,21,99,19,101
1.15,4,79,131,79,131
1.15,5,126,126,126,126
1.15,6,131,79,131,79
1.15,7,101,19,101,19
1.15,8,44,1,44,1
1.15,9,10,0,10,0
1.15,10,1,0,1,0
1.2,0,0,1,0,1
1.2,1,0,10,0,10
1.2,2,2,43,2,43
1.2,3,23,97,23,97
1.2,4,82,128,82,128
1.2,5,126,126,126,126
1.2,6,128,82,128,82
1.2,7,97,23,97,23
1.2,8,43,2,43,2
1.2,9,10,0,10,0
1.2,10,1,0,1,0
1.25,0,0,1,0,1
1.25,1,0,10,0,10
1.25,2,2,43,2,43
1.25,3,27,93,27,93
1.25,4,84,126,84,126
1.25,5,126,126,126,126
1.25,6,126,84,126,84
1.25,7,93,27,93,27
1.25,8,43,2,43,2
1.25,9,10,0,10,0
1.25,10,1,0,1,0
1.3,0,0,1,0,1
1.3,1,0,10,0,10
1.3,2,3,42,3,42
1.3,3,31,89,31,89
1.3,4,84,126,84,126
1.3,5,126,126,126,126
1.3,6,126,84,126,84
1.3,7,89,31,89,31
1.3,8,42,3,42,3
1.3,9,10,0,10,0
1.3,10,1,0,1,0
1.35,0,0,1,0,1
1.35,1,0,10,0,10
1.35,2,4,41,4,41
1.35,3,35,85,35,85
1.35,4,84,126,84,126
1.35,5,126,126,126,126
1.35,6,126,84,126,84
1.35,7,85,35,85,35
1.35,8,41,4,41,4
1.35,9,10,0,10,0
1.35,10,1,0,1,0
1.4,0,0,1,0,1
1.4,1,0,10,0,10
1.4,2,6,39,6,39
1.4,3,36,84,36,84
1.4,4,84,126,84,126
1.4,5,126,126,126,126
1.4,6,126,84,126,84
1.4,7,84,36,84,36
1.4,8,39,6,39,6
1.4,9,10,0,10,0
1.4,10,1,0,1,0
1.45,0,0,1,0,1
1.45,1,0,10,0,10
1.45,2,9,36,9,36
1.45,3,36,84,36,84
1.45,4,84,126,84,126
1.45,5,126,126,126,126
1.45,6,126,84,126,84
1.45,7,84,36,84,36
1.45,8,36,9,36,9
1.45,9,10,0,10,0
1.45,10,1,0,1,0
1.5,0,0,1,0,1
1.5,1,1,9,1,9
1.5,2,9,36,9,36
1.5,3,36,84,36,84
1.5,4,84,126,84,126
1.5,5,126,126,126,126
1.5,6,126,84,126,84
1.5,7,84,36,84,36
1.5,8,36,9,36,9
1.5,9,9,1,9,1
1.5,10,1,0,1,0
1.55,0,0,1,0,1
1.55,1,1,9,1,9
1.55,2,9,36,9,36
1.55,3,36,84,36,84
1.55,4,84,126,84,126
1.55,5,126,126,126,126
1.55,6,126,84,126,84
1.55,7,84,36,84,36
1.55,8,36,9,36,9
1.55,9,9,1,9,1
1.55,10,1,0,1,0
1.6,0,0,1,0,1
1.6,1,1,9,1,9
1.6,2,9,36,9,36
1.6,3,36,84,36,84
1.6,4,84,126,84,126
1.6,5,126,126,126,126
1.6,6,126,84,126,84
1.6,7,84,36,84,36
1.6,8,36,9,36,9
1.6,9,9,1,9,1
1.6,10,1,0,1,0
1.65,0,0,1,0,1
1.65,1,1,9,1,9
1.65,2,9,36,9,36
1.65,3,36,84,36,84
1.65,4,84,126,84,126
1.65,5,126,126,126,126
1.65,6,126,84,126,84
1.65,7,84,36,84,36
1.65,8,36,9,36,9
1.65,9,9,1,9,1
1.65,10,1,0,1,0
1.7,0,0,1,0,1
1.7,1,1,9,1,9
1.7,2,9,36,9,36
1.7,3,36,84,36,84
1.7,4,84,126,84,126
1.7,5,126,126,126,126
1.7,6,126,84,126,84
1.7,7,84,36,84,36
1.7,8,36,9,36,9
1.7,9,9,1,9,1
